"app","name","applied"
"1","Eloquia","0001_initial","April 20, 2024, 6:33 a.m."
"2","Eloquia","0002_article_banner","April 20, 2024, 6:33 a.m."
"3","Eloquia","0003_remove_comment_commented_on_object_id_and_more","April 20, 2024, 6:33 a.m."
"4","Eloquia","0004_alter_customuser_image_alter_customuser_security_q1_and_more","April 20, 2024, 6:33 a.m."
"5","Eloquia","0005_alter_article_content","April 20, 2024, 6:33 a.m."
"6","Eloquia","0006_article_reported","April 20, 2024, 6:33 a.m."
"7","Eloquia","0007_customuser_qooqle_connected_account","April 20, 2024, 6:33 a.m."
"8","Eloquia","0008_alter_article_banner_alter_customuser_image","April 20, 2024, 6:33 a.m."
"9","Eloquia","0009_alter_customuser_image","April 20, 2024, 6:33 a.m."
"10","contenttypes","0001_initial","April 20, 2024, 6:33 a.m."
"11","admin","0001_initial","April 20, 2024, 6:33 a.m."
"12","admin","0002_logentry_remove_auto_add","April 20, 2024, 6:33 a.m."
"13","admin","0003_logentry_add_action_flag_choices","April 20, 2024, 6:33 a.m."
"14","contenttypes","0002_remove_content_type_name","April 20, 2024, 6:33 a.m."
"15","auth","0001_initial","April 20, 2024, 6:33 a.m."
"16","auth","0002_alter_permission_name_max_length","April 20, 2024, 6:33 a.m."
"17","auth","0003_alter_user_email_max_length","April 20, 2024, 6:33 a.m."
"18","auth","0004_alter_user_username_opts","April 20, 2024, 6:33 a.m."
"19","auth","0005_alter_user_last_login_null","April 20, 2024, 6:33 a.m."
"20","auth","0006_require_contenttypes_0002","April 20, 2024, 6:33 a.m."
"21","auth","0007_alter_validators_add_error_messages","April 20, 2024, 6:33 a.m."
"22","auth","0008_alter_user_username_max_length","April 20, 2024, 6:33 a.m."
"23","auth","0009_alter_user_last_name_max_length","April 20, 2024, 6:33 a.m."
"24","auth","0010_alter_group_name_max_length","April 20, 2024, 6:33 a.m."
"25","auth","0011_update_proxy_permissions","April 20, 2024, 6:33 a.m."
"26","auth","0012_alter_user_first_name_max_length","April 20, 2024, 6:33 a.m."
"27","sessions","0001_initial","April 20, 2024, 6:33 a.m."
"28","Eloquia","0010_auto_20250310_1449","March 10, 2025, 2:49 p.m."
"29","explorer","0001_initial","April 17, 2025, 5:53 p.m."
"30","explorer","0002_auto_20150501_1515","April 17, 2025, 5:53 p.m."
"31","explorer","0003_query_snapshot","April 17, 2025, 5:53 p.m."
"32","explorer","0004_querylog_duration","April 17, 2025, 5:53 p.m."
"33","explorer","0005_auto_20160105_2052","April 17, 2025, 5:53 p.m."
"34","explorer","0006_query_connection","April 17, 2025, 5:53 p.m."
"35","explorer","0007_querylog_connection","April 17, 2025, 5:53 p.m."
"36","explorer","0008_auto_20190308_1642","April 17, 2025, 5:53 p.m."
"37","explorer","0009_auto_20201009_0547","April 17, 2025, 5:53 p.m."
"38","explorer","0010_sql_required","April 17, 2025, 5:53 p.m."
"39","explorer","0011_query_favorites","April 17, 2025, 5:53 p.m."
"40","explorer","0012_alter_queryfavorite_query_alter_queryfavorite_user","April 17, 2025, 5:53 p.m."
"41","explorer","0013_querylog_error_querylog_success","April 17, 2025, 5:53 p.m."
"42","explorer","0014_promptlog","April 17, 2025, 5:53 p.m."
"43","explorer","0015_explorervalue","April 17, 2025, 5:53 p.m."
"44","explorer","0016_alter_explorervalue_key","April 17, 2025, 5:53 p.m."
"45","explorer","0017_databaseconnection","April 17, 2025, 5:53 p.m."
"46","explorer","0018_alter_databaseconnection_host_and_more","April 17, 2025, 5:53 p.m."
"47","explorer","0019_alter_databaseconnection_engine","April 17, 2025, 5:53 p.m."
"48","explorer","0020_databaseconnection_extras_and_more","April 17, 2025, 5:53 p.m."
"49","explorer","0021_alter_databaseconnection_password_and_more","April 17, 2025, 5:53 p.m."
"50","explorer","0022_databaseconnection_upload_fingerprint","April 17, 2025, 5:53 p.m."
"51","explorer","0023_query_database_connection_and_more","April 17, 2025, 5:53 p.m."
"52","explorer","0024_auto_20240803_1135","April 17, 2025, 5:53 p.m."
"53","explorer","0025_alter_query_database_connection_alter_querylog_database_connection","April 17, 2025, 5:53 p.m."
"54","explorer","0026_tabledescription","April 17, 2025, 5:53 p.m."
"55","explorer","0027_query_few_shot","April 17, 2025, 5:53 p.m."
"56","explorer","0028_promptlog_database_connection_promptlog_user_request","April 17, 2025, 5:53 p.m."
